Conference,URL
ACC,https://sports.cbsimg.net/fly/images/conference/196.svg
American,https://sports.cbsimg.net/fly/images/conference/2062915.svg
Big Ten,https://sports.cbsimg.net/fly/images/conference/199.svg
Big 12,https://sports.cbsimg.net/fly/images/conference/197.svg
Big Sky,https://sports.cbsimg.net/fly/images/conference/134.svg
CAA,https://sports.cbsimg.net/fly/images/conference/138.svg
CUSA,https://sports.cbsimg.net/fly/images/conference/139.svg
Independent,https://sports.cbsimg.net/fly/images/conference/220.svg
Ivy League,https://sports.cbsimg.net/fly/images/conference/141.svg
MAC,https://sports.cbsimg.net/fly/images/conference/143.svg
MEAC,https://sports.cbsimg.net/fly/images/conference/145.svg
Missouri Valley,https://sports.cbsimg.net/fly/images/conference/147.svg
Mt West,https://sports.cbsimg.net/fly/images/conference/165364.svg
Ohio Valley,https://sports.cbsimg.net/fly/images/conference/150.svg
PAC,https://sports.cbsimg.net/fly/images/conference/1838443.svg
Patriot League,https://sports.cbsimg.net/fly/images/conference/152.svg
SEC,https://sports.cbsimg.net/fly/images/conference/153.svg
Southern,https://sports.cbsimg.net/fly/images/conference/154.svg
Southland,https://sports.cbsimg.net/fly/images/conference/155.svg
Sun Belt,https://sports.cbsimg.net/fly/images/conference/157.svg
SWAC,https://sports.cbsimg.net/fly/images/conference/156.svg
WAC,https://sports.cbsimg.net/fly/images/conference/160.svg